depth_m,BP_ng,SD_BP
1,6.270689223,0.432369396
2,5.6416908,1.77278943
3,5.951091967,0.517842742
4,5.195276142,0.331727541
5,6.58572756,0
6,25.79158369,1.305535138
7,11.69515982,1.067092592
8,30.00977564,3.464974418
9,43.00195741,8.407581013
10,36.24985768,0.125976209
11,35.74137741,4.592848057
13,72.66154753,0.877981142
13.5,407.4160113,43.79865757
14,381.853404,45.06914415
14.5,398.9032196,27.43765226
15,482.8678243,3.326166586
15.5,496.3238341,23.23177823
16,386.7506112,10.49981399
17,257.6934102,12.67594981
19,229.9959802,1.779176916
