"","depth_m","avg_h2S","DOC","POC","PON","POS","Ammonium_ug_L"
"1",1,NA,1.3111,0.195,0.03176,NA,19.3
"2",2,NA,1.261,1.033,0.1932,NA,8.6
"3",3,NA,1.3029,0.265,0.05505,0.00315,19
"4",5,NA,1.3134,0.231,0.0403,9e-04,11.9
"5",6,NA,1.3017,0.271,0.046016667,NA,7.5
"6",7,NA,1.3506,0.338,0.05475,NA,6.9
"7",8,NA,1.6729,0.379,0.066466667,0.002033333,8.5
"8",9,0,3.0597,0.495,0.089884615,0.002076923,10.7
"9",10,0,1.9928,0.442,0.083509804,0.002921569,30.2
"10",11,0,1.574,0.444,0.089176471,0.002647059,24.5
"11",12,NA,2.8259,NA,NA,NA,34.1
"12",13,0,1.7636,1.063,0.221371429,0.018038095,18.7
"13",13.5,0.0028,1.994,0.899,0.166833333,NA,96.7
"14",14,0,3.4538,1.508,0.288866667,NA,4
"15",14.5,0,1.5111,2.51,0.438533333,0.0559,5.1
"16",15,0.0017,1.5649,7.281,1.218181818,0.468454545,0.5
"17",15.5,0.0116,1.6608,2.333,0.4193,0.614466667,71.4
"18",16,0.0453,2.0659,1.77,0.321615385,0.598897436,139.7
"19",17,0.0738,2.058,1.738,0.314801136,0.709261364,166.3
"20",18,NA,NA,1.769,0.319387755,0.746793003,178.6
"21",19,0.0888,NA,1.500084746,0.274265537,0.652146893,262.4
