Depth,Reaction,mean_ngPP.x,SD_ngPP.x,mean_netchl.x,SD_netchl.x,mean_ngPP.y,SD_ngPP.y,mean_netchl.y,SD_netchl.y,netPP
11,Dark,0.363422403,0.021342793,0.000396321,2.33E-05,0.363422403,0.021342793,0.000396321,2.33E-05,0
11,Light,9.42430918,0.643749684,0.01027745,0.000702025,9.42430918,0.643749684,0.01027745,0.000702025,9.060886778
13,Dark,0.696076909,0.027219924,0.000685606,2.68E-05,0.696076909,0.027219924,0.000685606,2.68E-05,0
13,Light,7.005644847,0.486337035,0.006900264,0.000479021,7.005644847,0.486337035,0.006900264,0.000479021,6.309567938
3,Dark,0.54823086,0.010032213,0.009192812,0.000168222,0.54823086,0.010032213,0.009192812,0.000168222,0
3,Light,10.33985105,0.83153669,0.173380076,0.013943324,10.33985105,0.83153669,0.173380076,0.013943324,9.791620192
5,Dark,0.613574038,0.0839021,0.01007938,0.001378287,0.613574038,0.0839021,0.01007938,0.001378287,0
5,Light,10.97155044,0.772570024,0.180233227,0.012691259,10.97155044,0.772570024,0.180233227,0.012691259,10.3579764
7,Dark,1.887112375,0.213338975,0.017265008,0.001951818,1.887112375,0.213338975,0.017265008,0.001951818,0
7,Light,19.50398541,1.958572252,0.178440072,0.017918788,19.50398541,1.958572252,0.178440072,0.017918788,17.61687303
9,Dark,0.645919512,0.035910021,0.001074507,5.97E-05,0.645919512,0.035910021,0.001074507,5.97E-05,0
9,Light,22.93916502,1.069180499,0.038160013,0.001778615,22.93916502,1.069180499,0.038160013,0.001778615,22.2932455
