"Depth","TCell_cnt_ml","TCell_cnt_mean","TCell_cnt_max","TCell_cnt_SD","Cyn_Cells_mean","Cyn_Cells_sd"
1,104666.666666667,104666.666666667,106000,1527.52523165195,23666.66667,577.3502692
2,106000,106000,110000,3605.55127546399,25333.33333,577.3502692
3,95666.6666666667,95666.6666666667,1e+05,4041.45188432738,21666.66667,577.3502692
4,164000,164000,171000,6244.9979983984,32333.33333,577.3502692
5,86666.6666666667,86666.6666666667,88000,1527.52523165195,41666.66667,2081.665999
6,150000,150000,151000,1000,52333.33333,1154.700538
7,157333.333333333,157333.333333333,158000,577.350269189626,42333.33333,1527.525232
8,74666.6666666667,74666.6666666667,75000,577.350269189626,30666.66667,577.3502692
9,73000,73000,76000,3000,43666.66667,1154.700538
10,87666.6666666667,87666.6666666667,89000,1527.52523165195,43333.33333,1154.700538
11,104333.333333333,104333.333333333,106000,1527.52523165195,25333.33333,2081.665999
12,110666.666666667,110666.666666667,119000,7637.62615825973,40333.33333,577.3502692
13,95333.3333333333,95333.3333333333,98000,2309.4010767585,29000,1000
13.5,152666.666666667,152666.666666667,156000,4932.88286231625,24500,707.1067812
14,742000,742000,761000,17691.8060129541,309333.3333,12013.88086
15,905000,905000,938000,28583.2118559129,212333.3333,11590.22577
15.5,585000,585000,605000,18330.3027798234,190000,2000
16,461000,461000,468000,10440.3065089105,171666.6667,8504.900548
17,434666.666666667,434666.666666667,448000,11718.9305541646,166666.6667,2081.665999
18,450666.666666667,450666.666666667,462000,10598.7420637231,169333.3333,1154.700538
19,397000,397000,402000,7810.24967590665,148000,9848.857802
