Sample_name,Depth,Water_layer,Dye
Sample.E01.fcs,1,Upper_Mixolimnion,SYBR
Sample.E0112.fcs,12,Lower_Mixolimnion,SYBR
Sample.E02.fcs,2,Upper_Mixolimnion,SYBR
Sample.E02135.fcs,13.5,U_Chemocline,SYBR
Sample.E03.fcs,3,Upper_Mixolimnion,SYBR
Sample.E0314.fcs,14,U_Chemocline,SYBR
Sample.E04.fcs,4,Upper_Mixolimnion,SYBR
Sample.E0415.fcs,15,Chemocline,SYBR
Sample.E05.fcs,5,Mid_Mixolimnion,SYBR
Sample.E05155.fcs,15.5,Chemocline,SYBR
Sample.E06.fcs,6,Mid_Mixolimnion,SYBR
Sample.E0616.fcs,16,Monimolimnion,SYBR
Sample.E07.fcs,7,Mid_Mixolimnion,SYBR
Sample.E0717.fcs,17,Monimolimnion,SYBR
Sample.E08.fcs,8,Mid_Mixolimnion,SYBR
Sample.E0818.fcs,18,Monimolimnion,SYBR
Sample.E09.fcs,9,Lower_Mixolimnion,SYBR
Sample.E0919.fcs,19,Monimolimnion,SYBR
Sample.E10.fcs,10,Lower_Mixolimnion,SYBR
Sample.E11.fcs,11,Lower_Mixolimnion,SYBR
Sample.E12.fcs,13,U_Chemocline,SYBR
Sample.F01.fcs,1,Upper_Mixolimnion,SYBR
Sample.F0112.fcs,12,Lower_Mixolimnion,SYBR
Sample.F02.fcs,2,Upper_Mixolimnion,SYBR
Sample.F02135.fcs,13.5,U_Chemocline,SYBR
Sample.F03.fcs,3,Upper_Mixolimnion,SYBR
Sample.F0314.fcs,14,U_Chemocline,SYBR
Sample.F04.fcs,4,Upper_Mixolimnion,SYBR
Sample.F0415.fcs,15,Chemocline,SYBR
Sample.F05.fcs,5,Mid_Mixolimnion,SYBR
Sample.F05155.fcs,15.5,Chemocline,SYBR
Sample.F06.fcs,6,Mid_Mixolimnion,SYBR
Sample.F0616.fcs,16,Monimolimnion,SYBR
Sample.F07.fcs,7,Mid_Mixolimnion,SYBR
Sample.F0717.fcs,17,Monimolimnion,SYBR
Sample.F08.fcs,8,Mid_Mixolimnion,SYBR
Sample.F0818.fcs,18,Monimolimnion,SYBR
Sample.F09.fcs,9,Lower_Mixolimnion,SYBR
Sample.F0919.fcs,19,Monimolimnion,SYBR
Sample.F10.fcs,10,Lower_Mixolimnion,SYBR
Sample.F11.fcs,11,Lower_Mixolimnion,SYBR
Sample.F12.fcs,13,U_Chemocline,SYBR
Sample.G01.fcs,1,Upper_Mixolimnion,SYBR
Sample.G0112.fcs,12,Lower_Mixolimnion,SYBR
Sample.G02.fcs,2,Upper_Mixolimnion,SYBR
Sample.G02135.fcs,13.5,U_Chemocline,SYBR
Sample.G03.fcs,3,Upper_Mixolimnion,SYBR
Sample.G0314.fcs,14,U_Chemocline,SYBR
Sample.G04.fcs,4,Upper_Mixolimnion,SYBR
Sample.G0415.fcs,15,Chemocline,SYBR
Sample.G05.fcs,5,Mid_Mixolimnion,SYBR
Sample.G05155.fcs,15.5,Chemocline,SYBR
Sample.G06.fcs,6,Mid_Mixolimnion,SYBR
Sample.G0616.fcs,16,Monimolimnion,SYBR
Sample.G07.fcs,7,Mid_Mixolimnion,SYBR
Sample.G0717.fcs,17,Monimolimnion,SYBR
Sample.G08.fcs,8,Mid_Mixolimnion,SYBR
Sample.G0818.fcs,18,Monimolimnion,SYBR
Sample.G09.fcs,9,Lower_Mixolimnion,SYBR
Sample.G0919.fcs,19,Monimolimnion,SYBR
Sample.G10.fcs,10,Lower_Mixolimnion,SYBR
Sample.G11.fcs,11,Lower_Mixolimnion,SYBR
Sample.G12.fcs,13,U_Chemocline,SYBR
